,Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_hr,Arrival_min,Departure_hr,Departure_min
0,3,3,3,170,0.0,3,3897.0,24,3,2019,1,10,22,20
1,1,1,1,445,2.0,1,7662.0,1,5,2019,13,15,5,50
2,4,4,4,1140,2.0,4,13882.0,9,6,2019,4,25,9,25
3,3,3,3,325,1.0,3,6218.0,12,5,2019,23,30,18,5
4,3,3,3,285,1.0,3,13302.0,1,3,2019,21,35,16,50
5,8,8,8,145,0.0,8,3873.0,24,6,2019,11,25,9,0
6,4,4,4,930,1.0,4,11087.0,12,3,2019,10,25,18,55
7,4,4,4,1265,1.0,4,22270.0,1,3,2019,5,5,8,0
8,4,4,4,1530,1.0,4,11087.0,12,3,2019,10,25,8,55
9,6,6,6,470,1.0,6,8625.0,27,5,2019,19,15,11,25
10,1,1,1,795,1.0,1,8907.0,1,6,2019,23,0,9,45
11,3,3,3,155,0.0,3,4174.0,18,4,2019,22,55,20,20
12,1,1,1,135,0.0,1,4667.0,24,6,2019,13,55,11,40
13,4,4,4,730,1.0,4,9663.0,9,5,2019,9,20,21,10
14,3,3,3,155,0.0,3,4804.0,24,4,2019,19,50,17,15
15,1,1,1,1595,2.0,1,14011.0,3,3,2019,19,15,16,40
16,8,8,8,270,1.0,8,5830.0,15,4,2019,13,15,8,45
17,4,4,4,1355,1.0,4,10262.0,12,6,2019,12,35,14,0
18,1,1,1,1380,2.0,1,13381.0,12,6,2019,19,15,20,15
19,4,4,4,1235,1.0,4,12898.0,27,5,2019,12,35,16,0
20,2,2,2,310,1.0,2,19495.0,6,3,2019,19,20,14,10
21,1,1,1,920,1.0,1,6955.0,21,3,2019,13,20,22,0
22,3,3,3,170,0.0,3,3943.0,3,4,2019,6,50,4,0
23,3,3,3,175,0.0,3,4823.0,1,5,2019,21,50,18,55
24,4,4,4,800,1.0,4,7757.0,6,5,2019,8,15,18,55
25,4,4,4,910,2.0,4,13292.0,9,6,2019,12,35,21,25
26,3,3,3,345,1.0,3,8238.0,1,6,2019,3,35,21,50
27,2,2,2,355,1.0,2,7682.0,15,5,2019,12,55,7,0
28,10,10,10,170,0.0,10,4668.0,18,6,2019,12,35,9,45
29,10,10,10,135,0.0,10,3687.0,15,6,2019,9,20,7,5
30,10,10,10,135,0.0,10,3687.0,18,6,2019,9,20,7,5
31,1,1,1,805,2.0,1,13227.0,1,5,2019,23,15,9,50
32,3,3,3,170,0.0,3,4423.0,6,4,2019,6,50,4,0
33,4,4,4,1320,2.0,4,10919.0,15,6,2019,12,35,14,35
34,4,4,4,330,1.0,4,12373.0,18,5,2019,12,35,7,5
35,3,3,3,625,1.0,3,5894.0,27,6,2019,21,0,10,35
36,8,8,8,315,1.0,8,4649.0,21,5,2019,20,20,15,5
37,1,1,1,150,0.0,1,6245.0,18,5,2019,16,45,14,15
38,4,4,4,375,1.0,4,19225.0,6,3,2019,13,15,7,0
39,4,4,4,715,1.0,4,14924.0,3,6,2019,19,0,7,5
40,6,6,6,665,1.0,6,9646.0,21,5,2019,18,10,7,5
41,1,1,1,510,1.0,1,8714.0,15,3,2019,15,15,6,45
42,4,4,4,1325,1.0,4,12373.0,18,5,2019,19,0,20,55
43,0,0,0,165,0.0,0,3383.0,6,5,2019,13,55,11,10
44,6,6,6,720,1.0,6,13062.0,21,3,2019,21,0,9,0
45,8,8,8,170,0.0,8,3527.0,24,3,2019,8,35,5,45
46,3,3,3,170,0.0,3,3943.0,27,5,2019,6,50,4,0
47,1,1,1,135,0.0,1,4667.0,3,5,2019,13,55,11,40
48,1,1,1,965,1.0,1,6117.0,15,5,2019,11,5,19,0
49,4,4,4,1195,2.0,4,11150.0,27,6,2019,19,0,23,5
50,4,4,4,195,0.0,4,7202.0,9,3,2019,14,15,11,0
51,4,4,4,1520,1.0,4,12121.0,1,5,2019,10,55,9,35
52,3,3,3,170,0.0,3,4377.0,24,3,2019,1,10,22,20
53,3,3,3,180,0.0,3,3943.0,18,6,2019,0,15,21,15
54,0,0,0,170,0.0,0,4483.0,3,4,2019,2,45,23,55
55,4,4,4,975,1.0,4,14231.0,24,3,2019,12,0,19,45
56,1,1,1,905,2.0,1,17345.0,1,3,2019,23,55,8,50
57,10,10,10,135,0.0,10,7414.0,6,3,2019,9,20,7,5
58,6,6,6,390,1.0,6,8073.0,6,5,2019,1,30,19,0
59,10,10,10,1505,1.0,10,12395.0,6,3,2019,16,45,15,40
60,1,1,1,745,1.0,1,8366.0,6,6,2019,21,50,9,25
61,1,1,1,1640,1.0,1,5117.0,3,4,2019,9,25,6,5
62,6,6,6,615,1.0,6,12524.0,3,6,2019,19,0,8,45
63,3,3,3,630,1.0,3,7191.0,15,5,2019,1,30,15,0
64,10,10,10,135,0.0,10,3687.0,24,5,2019,9,20,7,5
65,3,3,3,625,1.0,3,5894.0,24,6,2019,21,0,10,35
66,10,10,10,170,0.0,10,5403.0,24,4,2019,12,35,9,45
67,1,1,1,90,0.0,1,3625.0,6,5,2019,15,25,13,55
68,1,1,1,800,2.0,1,10861.0,21,5,2019,19,15,5,55
69,3,3,3,135,0.0,3,6297.0,12,3,2019,15,35,13,20
70,4,4,4,85,0.0,4,5678.0,1,6,2019,8,30,7,5
71,4,4,4,1590,1.0,4,9134.0,9,3,2019,8,15,5,45
72,6,6,6,440,1.0,6,10791.0,24,6,2019,19,0,11,40
73,4,4,4,810,2.0,4,12819.0,24,6,2019,12,35,23,5
74,3,3,3,300,1.0,3,6893.0,21,3,2019,10,5,5,5
75,10,10,10,165,0.0,10,7240.0,9,3,2019,12,35,9,50
76,2,2,2,170,0.0,2,3898.0,3,4,2019,14,30,11,40
77,3,3,3,90,0.0,3,4049.0,3,4,2019,7,55,6,25
78,4,4,4,1145,1.0,4,10262.0,15,6,2019,12,35,17,30
79,8,8,8,135,0.0,8,3332.0,21,3,2019,10,35,8,20
80,4,4,4,890,1.0,4,10844.0,9,6,2019,12,0,21,10
81,4,4,4,160,0.0,4,7229.0,24,3,2019,22,35,19,55
82,4,4,4,1330,1.0,4,13941.0,6,5,2019,4,40,6,30
83,3,3,3,575,1.0,3,5894.0,27,6,2019,21,0,11,25
84,6,6,6,600,1.0,6,10197.0,18,5,2019,19,0,9,0
85,4,4,4,1280,1.0,4,13712.0,6,3,2019,11,25,14,5
86,3,3,3,325,1.0,3,5636.0,24,6,2019,7,25,2,0
87,4,4,4,1125,2.0,4,13014.0,6,6,2019,4,25,9,40
88,4,4,4,740,1.0,4,7064.0,1,4,2019,20,45,8,25
89,4,4,4,1080,1.0,4,10703.0,24,5,2019,14,25,20,25
90,6,6,6,555,1.0,6,9646.0,27,5,2019,22,30,13,15
91,6,6,6,665,1.0,6,17057.0,6,3,2019,13,20,2,15
92,4,4,4,1050,1.0,4,13817.0,12,3,2019,10,25,16,55
93,1,1,1,800,2.0,1,13748.0,6,3,2019,19,15,5,55
94,1,1,1,155,0.0,1,4880.0,21,4,2019,23,20,20,45
95,3,3,3,145,0.0,3,3540.0,21,6,2019,7,40,5,15
96,8,8,8,160,0.0,8,3257.0,15,5,2019,8,35,5,55
97,4,4,4,180,0.0,4,6478.0,3,6,2019,22,50,19,50
98,4,4,4,85,0.0,4,8040.0,18,6,2019,8,30,7,5
99,4,4,4,995,2.0,4,14300.0,12,6,2019,12,35,20,0
100,4,4,4,740,1.0,4,14781.0,15,5,2019,20,45,8,25
101,4,4,4,735,1.0,4,14939.0,9,6,2019,8,15,20,0
102,4,4,4,450,1.0,4,10262.0,24,6,2019,4,25,20,55
103,1,1,1,1440,1.0,1,6528.0,12,5,2019,14,35,14,35
104,1,1,1,165,0.0,1,6121.0,1,5,2019,8,55,6,10
105,4,4,4,535,2.0,4,13029.0,18,5,2019,4,25,19,30
106,6,6,6,430,1.0,6,11421.0,27,3,2019,18,50,11,40
107,6,6,6,870,1.0,6,7574.0,27,3,2019,19,15,4,45
108,1,1,1,1820,2.0,1,11596.0,9,5,2019,19,15,12,55
109,4,4,4,1195,2.0,4,15129.0,24,5,2019,19,0,23,5
110,4,4,4,900,1.0,4,13555.0,18,3,2019,5,5,14,5
111,3,3,3,175,0.0,3,5780.0,12,4,2019,21,50,18,55
112,10,10,10,765,1.0,10,9397.0,12,5,2019,9,5,20,20
113,4,4,4,610,1.0,4,17024.0,6,3,2019,4,25,18,15
114,2,2,2,355,1.0,2,5281.0,27,6,2019,12,55,7,0
115,6,6,6,925,1.0,6,10348.0,18,5,2019,22,30,7,5
116,1,1,1,965,1.0,1,12677.0,6,3,2019,9,25,17,20
117,6,6,6,610,1.0,6,15147.0,3,3,2019,1,35,15,25
118,10,10,10,160,0.0,10,4668.0,12,6,2019,9,40,7,0
119,4,4,4,715,1.0,4,15554.0,9,5,2019,19,0,7,5
120,8,8,8,160,0.0,8,3971.0,9,4,2019,8,35,5,55
121,1,1,1,85,0.0,1,3100.0,3,5,2019,16,25,15,0
122,4,4,4,845,1.0,4,9663.0,6,5,2019,10,5,20,0
123,1,1,1,1215,1.0,1,27430.0,1,3,2019,19,15,23,0
124,3,3,3,145,0.0,3,3540.0,12,5,2019,7,40,5,15
